Source,RawKeyValue,RawKeyType,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
kehe,256821,vendor_item,7-006,KEHE,C&A Potato Gnocchi 10/14.1oz,100,True,Migrated from CSV
kehe,110366,vendor_item,17-001-1,KEHE,C&A Basil Genovese Pesto Sauce 6/7.9oz,100,True,Migrated from CSV
kehe,110367,vendor_item,17-001-2,KEHE,C&A Artichoke Lemon Pesto Sauce 6/7.9oz,100,True,Migrated from CSV
kehe,269368,vendor_item,17-001-4,KEHE,C&A Sun-Dried Tomato Pesto 6/7.9oz,100,True,Migrated from CSV
kehe,334790,vendor_item,17-041-7,KEHE,C&A Sun-Dried Tomato Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,110368,vendor_item,17-041-1,KEHE,C&A Artichoke Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,110374,vendor_item,17-041-2,KEHE,C&A Red Pepper & Artichoke Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,256166,vendor_item,17-041-6,KEHE,C&A Olive Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,110376,vendor_item,17-051-1,KEHE,C&A Marin. Qrtd Artichokes 6/14.5oz,100,True,Migrated from CSV
kehe,110377,vendor_item,17-051-2,KEHE,C&A Grilled Marin. Whole Artichokes 6/14.5oz,100,True,Migrated from CSV
kehe,110380,vendor_item,3-021,KEHE,C&A Balsamic Vinegar- High Density 6/8.5oz,100,True,Migrated from CSV
kehe,110383,vendor_item,3-047,KEHE,C&A Balsamic Vinegar Igp 6/16.9oz,100,True,Migrated from CSV
kehe,110386,vendor_item,17-003-2,KEHE,C&A Puttanesca Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,110389,vendor_item,17-003-4,KEHE,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,110390,vendor_item,17-003-1,KEHE,C&A Tomato W/Basil Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,110391,vendor_item,17-003-3,KEHE,C&A Arrabbiata Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,129175,vendor_item,17-043-1,KEHE,C&A Tricolor Jalapenos 6/16.5oz,100,True,Migrated from CSV
kehe,267772,vendor_item,8-100-3,KEHE,C&A Couscous 8/17.6oz,100,True,Migrated from CSV
kehe,267774,vendor_item,8-100-4,KEHE,C&A Farro 8/17.6oz,100,True,Migrated from CSV
kehe,267776,vendor_item,8-100-5,KEHE,C&A Instant Polenta 8/17.6oz,100,True,Migrated from CSV
kehe,267778,vendor_item,8-100-6,KEHE,C&A Arborio Rice 8/17.6oz,100,True,Migrated from CSV
kehe,295340,vendor_item,8-100-9,KEHE,C&A Minestrone Soup Mix 8/17.6oz,100,True,Migrated from CSV
kehe,295339,vendor_item,8-100-10,KEHE,C&A Bean Soup Mix 8/17.6oz,100,True,Migrated from CSV
kehe,319677,vendor_item,3-005,KEHE,C&A Grape Seed Oil 6/25.3oz,100,True,Migrated from CSV
kehe,295356,vendor_item,7-210-71,KEHE,C&A Organic Penne Rigate #71 12/16oz,100,True,Migrated from CSV
kehe,295353,vendor_item,7-210-42,KEHE,C&A Organic Elbows #42 12/16oz,100,True,Migrated from CSV
kehe,295355,vendor_item,7-210-50,KEHE,C&A Organic Casarecce #50 12/16oz,100,True,Migrated from CSV
kehe,295351,vendor_item,7-210-66,KEHE,C&A Organic Fusilli #66 12/16oz,100,True,Migrated from CSV
kehe,295354,vendor_item,7-210-22,KEHE,C&A Organic Farfalle #22 12/16oz,100,True,Migrated from CSV
kehe,295347,vendor_item,7-210-82,KEHE,C&A Organic Spaghetti #82 20/16oz,100,True,Migrated from CSV
kehe,295348,vendor_item,7-210-91,KEHE,C&A Organic Linguine #91 20/16oz,100,True,Migrated from CSV
kehe,320966,vendor_item,12-002-1,KEHE,C&A Hazelnut Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,320967,vendor_item,12-002-2,KEHE,C&A Chocolate Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,320968,vendor_item,12-002-3,KEHE,C&A Lemon Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,320969,vendor_item,12-002-4,KEHE,C&A Vanilla Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,399223,vendor_item,12-002,KEHE,C&A Wafer Roll Shipper 36/14.1oz,100,True,Migrated from CSV
kehe,387166,vendor_item,17-001-5,KEHE,C&A Vegan Nut Free Basil Pesto Sauce 6/7.9oz,100,True,Migrated from CSV
kehe,273317,vendor_item,12-042,KEHE,K&L Passport Flatbread- Everything 6/13.3oz,100,True,Migrated from CSV
kehe,129178,vendor_item,8-200-1,KEHE,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz,100,True,Migrated from CSV
kehe,129174,vendor_item,8-200-2,KEHE,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz,100,True,Migrated from CSV
kehe,129170,vendor_item,8-200-3,KEHE,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz,100,True,Migrated from CSV
kehe,129176,vendor_item,8-200-4,KEHE,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz,100,True,Migrated from CSV
kehe,308376,vendor_item,8-400-1,KEHE,K&L Farro RTE Meal- Grilled Vegetables 6/7.9oz,100,True,Migrated from CSV
kehe,308378,vendor_item,8-400-3,KEHE,"K&L Farro RTE Meal- Artichoke, Lemon & Garlic 6/7.9oz",100,True,Migrated from CSV
kehe,353455,vendor_item,13-001-1,KEHE,K&L Strawberry Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,353454,vendor_item,13-001-3,KEHE,K&L Apricot Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,353451,vendor_item,13-001-9,KEHE,K&L Fig Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,353453,vendor_item,13-001-4,KEHE,K&L Sour Cherry Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,353452,vendor_item,13-001-10,KEHE,K&L Lingonberry Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,373816,vendor_item,13-003-1,KEHE,K&L Strawberry & Honey Sweetened Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,373818,vendor_item,13-003-3,KEHE,K&L Apricot & Honey Sweetened Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,373822,vendor_item,13-003-4,KEHE,K&L Fig & Honey Sweetened Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,373823,vendor_item,13-003-5,KEHE,K&L Sour Cherry & Honey Sweetened Preserve 6/12.3oz,100,True,Migrated from CSV
